SampleID,process,xsectioninpb,kfactor,filtefficiency,xsecunc,generator

341123, PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125_tautaulh, 2.775744,1.0, 0.4548 ,1.0, Powheg+Pythia8+EvtGen
341156, PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH125_tautaulh, 0.236874 ,1.0, 0.45539 ,1.0, Powheg+Pythia8+EvtGen

361084, Sherpa_CT10_WqqZll, 3.7583 ,1.0, 1.0,1.0, Sherpa
361086, Sherpa_CT10_ZqqZll, 16.59,1.0, 0.14253,1.0, Sherpa

361100, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu, 11500.9154,1.0, 1.0,1.0, Powheg+Pythia8+EvtGen+Photospp
361101, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu, 11500.9154,1.0, 1.0,1.0, Powheg+Pythia8+EvtGen+Photospp
361102, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplustaunu, 11500.9154,1.0, 1.0,1.0, Powheg+Pythia8+EvtGen+Photospp

361103, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminusenu, 8579.0011,1.0, 1.0,1.0, Powheg+Pythia8+EvtGen+Photospp
361104, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminusmunu, 8579.0011,1.0, 1.0,1.0, Powheg+Pythia8+EvtGen+Photospp
361105, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminustaunu, 8579.0011,1.0, 1.0,1.0, Powheg+Pythia8+EvtGen+Photospp

361106, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Zee, 1950.6321,1.0, 1.0,1.0, Powheg+Pythia8+EvtGen+Photospp
361107, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Zmumu, 1950.6321,1.0, 1.0,1.0, Powheg+Pythia8+EvtGen+Photospp
361108, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Ztautau, 1950.6321,1.0, 1.0,1.0, Powheg+Pythia8+EvtGen+Photospp

410000, PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad, 451.64568 ,1.0, 1.0,1.0, Powheg+Pythia+EvtGen+Photos+Tauola
410007, PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_allhad, 380.11432 ,1.0, 1.0,1.0, Powheg+Pythia+EvtGen+Photos+Tauola

410011, PowhegPythiaEvtGen_P2012_singletop_tchan_lept_top, 14.331769 ,1.0, 1.0,1.0, Powheg+Pythia+EvtGen
410012, PowhegPythiaEvtGen_P2012_singletop_tchan_lept_antitop, 8.52931 ,1.0, 1.0,1.0, Powheg+Pythia+EvtGen

410013, PowhegPythiaEvtGen_P2012_Wt_inclusive_top, 35.845486 ,1.0, 1.0,1.0, Powheg+Pythia+EvtGen
410014, PowhegPythiaEvtGen_P2012_Wt_inclusive_antitop, 35.824406 ,1.0, 1.0,1.0, Powheg+Pythia+EvtGen
410015, PowhegPythiaEvtGen_P2012_Wt_dilepton_top, 3.777009 ,1.0, 1.0,1.0, Powheg+Pythia+EvtGen
410016, PowhegPythiaEvtGen_P2012_Wt_dilepton_antitop, 3.774796 ,1.0, 1.0,1.0, Powheg+Pythia+EvtGen

410025, PowhegPythiaEvtGen_P2012_SingleTopSchan_noAllHad_top, 1.872291, 1.0, 1.0, 1.0, Powheg+Pythia+EvtGen
410026, PowhegPythiaEvtGen_P2012_SingleTopSchan_noAllHad_antitop, 1.170551, 1.0, 1.0, 1.0, Powheg+Pythia+EvtGen

